episode,potions_used,moving_avg_potions_used,min_potions_used_so_far,unique_combos_used
796,6747,6659.28,6174,156
797,6449,6655.24,6174,146
798,6546,6648.9,6174,153
799,6744,6651.4,6174,155
800,6501,6647.32,6174,142
801,6747,6649.1,6174,143
802,6519,6648.4,6174,158
803,6571,6647.28,6174,149
804,6681,6649.76,6174,142
805,6540,6646.48,6174,143
806,6653,6644.04,6174,154
807,6756,6645.92,6174,158
808,6686,6644,6174,144
809,6594,6644.76,6174,144
810,6696,6646.42,6174,151
811,6501,6643.66,6174,139
812,6665,6640.62,6174,142
813,6755,6644.38,6174,151
814,6588,6644.08,6174,156
815,6720,6646.54,6174,141
816,6809,6650.76,6174,152
817,6682,6652.3,6174,137
818,6505,6649.44,6174,141
819,6667,6650.58,6174,147
820,6633,6653.38,6174,138
821,6664,6654.3,6174,145
822,6740,6656.3,6174,150
823,6577,6655.26,6174,156
824,6619,6654.26,6174,150
825,6529,6652.2,6174,143
826,6579,6646.62,6174,151
827,6726,6648.76,6174,133
828,6703,6652.22,6174,143
829,6542,6650.86,6174,152
830,6762,6652.6,6174,148
831,6594,6650.1,6174,157
832,6687,6650.4,6174,153
833,6691,6649.92,6174,147
834,6725,6650.18,6174,129
835,6565,6647.48,6174,142
836,6586,6644.12,6174,149
837,6669,6643.4,6174,154
838,6513,6639.28,6174,157
839,6603,6636.1,6174,152
840,6596,6635.46,6174,151
841,6681,6635.42,6174,157
842,6541,6631.76,6174,141
843,6696,6633.06,6174,141
844,6598,6636,6174,132
845,6716,6637.14,6174,149
846,6613,6634.46,6174,136
847,6710,6639.68,6174,142
848,6604,6640.84,6174,140
849,6568,6637.32,6174,151
850,6658,6640.46,6174,160
851,6640,6638.32,6174,150
852,6618,6640.3,6174,140
853,6635,6641.58,6174,147
854,6610,6640.16,6174,143
855,6561,6640.58,6174,147
856,6638,6640.28,6174,147
857,6584,6636.84,6174,134
858,6709,6637.3,6174,148
859,6681,6639.04,6174,151
860,6703,6639.18,6174,151
861,6669,6642.54,6174,148
862,6601,6641.26,6174,136
863,6616,6638.48,6174,138
864,6715,6641.02,6174,144
865,6587,6638.36,6174,150
866,6557,6633.32,6174,144
867,6674,6633.16,6174,136
868,6639,6635.84,6174,134
869,6678,6636.06,6174,147
870,6655,6636.5,6174,142
871,6598,6635.18,6174,147
872,6561,6631.6,6174,155
873,6569,6631.44,6174,158
874,6727,6633.6,6174,148
875,6679,6636.6,6174,151
876,6701,6639.04,6174,151
877,6572,6635.96,6174,143
878,6546,6632.82,6174,151
879,6734,6636.66,6174,149
880,6737,6636.16,6174,144
881,6772,6639.72,6174,158
882,6693,6639.84,6174,149
883,6592,6637.86,6174,140
884,6709,6637.54,6174,154
885,6644,6639.12,6174,142
886,6659,6640.58,6174,135
887,6595,6639.1,6174,153
888,6711,6643.06,6174,154
889,6560,6642.2,6174,140
890,6536,6641,6174,152
891,6696,6641.3,6174,148
892,6669,6643.86,6174,144
893,6609,6642.12,6174,142
894,6568,6641.52,6174,149
895,6667,6640.54,6174,135
896,6731,6642.9,6174,161
897,6650,6641.7,6174,150
898,6512,6639.86,6174,151
899,6536,6639.22,6174,157
900,6716,6640.38,6174,141
901,6529,6638.16,6174,144
902,6624,6638.28,6174,149
903,6563,6636.84,6174,155
904,6642,6637.48,6174,143
905,6624,6638.74,6174,145
906,6640,6638.78,6174,148
907,6612,6639.34,6174,149
908,6688,6638.92,6174,142
909,6619,6637.68,6174,148
910,6675,6637.12,6174,149
911,6780,6639.34,6174,142
912,6496,6637.24,6174,150
913,6532,6635.56,6174,152
914,6727,6635.8,6174,157
915,6635,6636.76,6174,156
916,6600,6637.62,6174,145
917,6569,6635.52,6174,141
918,6644,6635.62,6174,154
919,6630,6634.66,6174,153
920,6648,6634.52,6174,152
